query	expected_idx	doc_0	doc_1	doc_2	doc_3
One woman is measuring another woman's ankle.	2	Oklahoma wildfires destroy homes - in pictures	A man is talking.	A woman measures another woman's ankle.	A man is cutting carpet with a knife.
A man is cutting up a cucumber.	0	A man is slicing a cucumber.	Two women and a baby pose in front of a dining room.	White bus parked in grass in front of building.	A man is riding a motorcycle.
A man is cutting an onion.	0	A man cuts an onion.	Major quake kills 39 in Pakistan	Myanmar Struggles to Finalize Voter Lists for Sunday Polls	You're probably going to have to read various blogs to get all the information you want.
A man is slicing open a fish.	0	A man is cutting up a fish.	Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day.	My answer to your question is "Probably Not".	A woman is playing violin.
A baby panda goes down a slide.	0	A panda slides down a slide.	A person is holding two baby lorises.	A man riding on the back of an orange SUV.	A white cow with big ears looking into the camera.
Two zebras play in an open field.	3	To my knowledge, there's no time requirement.	A woman is putting oil into a skillet.	One dead, 8 missing in Vietnam boat accident	Two zebras are playing in a field.
A man is cutting a potato.	2	A woman taking her own photo from above.	It is his job to see that you have what you need to do your job.	A man is slicing some potato.	Total revenue for the second quarter was $1.48 billion, up 7% from $1.39 billion in the same period last year.
A young woman is putting stickers all over her face.	3	The woman is slicing herbs.	A man is cutting a mat.	Maduro wins Venezuelan presidential vote	A woman is applying stickers to her face.
A cat is eating some corn.	1	The woman is jumping a long distance while people watch.	A cat is eating corn on the cob.	A man in a maroon bathing suit swings on a rope on a lake.	A small child is drinking water from a cup.
A woman is dancing in the rain.	3	A man with a beard is sitting in the grass.	A woman is putting a baby into a trash can.	A person is holding two baby lorises.	A woman dances in the rain out side.
A boy studies a calendar.	2	The man is dropping sliced cucumbers into water.	A person is standing in front of a building holding aloft some plywood	A boy is looking at a calendar.	Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.
A man puts three pieces of meat into a pan.	0	A man is putting meat in a pan.	A girl is walking down a road.	Waiting for the next president	You should tell a good story and sometimes you have to tweak reality/history to do so.
The man is kissing and hugging the woman.	2	A man making balloon animals for two children on a street corner.	Three men are jumping off a wall.	A man is hugging and kissing a woman.	This is a part answer to your question
A man is sitting and smoking.	1	Day begins amid panic	A man is smoking a cigarette.	Activist says Syrian citizen cameraman killed in Homs	There is a child with a ball
A man is playing the guitar and singing.	1	US presidents pay tribute to Mandela	A man sings with a guitar.	A man is talking to a woman.	A man is doing yoga.
